delivery_type,phone_price,seller_customer_rating,seller_followers,seller_name,seller_quality_score,seller_score,seller_shipping_speed,units_left,verified_ratings,model_names
Jumia Nigeria,880000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,8 units left,0,iphone 12 pro max
Jumia Nigeria,1950000.0,Good,2127,Lamisol gadgets,Excellent,94,Excellent,In stock,0,iphone 15 pro max
Jumia Express,650000.0,Excellent,191,Bargain phones & gadget - ac,Excellent,100,Excellent,In stock,3,iphone 12 pro
Jumia Global,54267.5,No Rating yet,20,Figer,No score,98,Excellent,In stock,0,iphone 5
Jumia Express,400000.0,Excellent,191,Bargain phones & gadget - ac,Excellent,100,Excellent,In stock,0,iphone x
Jumia Nigeria,1990999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,3 units left,1,iphone 15 pro max
Jumia Express,577500.0,Excellent,191,Bargain phones & gadget - ac,Excellent,100,Excellent,1 units left,14,iphone 12 pro
Jumia Global,77739.0,No Rating yet,7,Sellcome01,Very Poor,60,Excellent,In stock,2,iphone 6
Jumia Nigeria,1990999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,4 units left,0,iphone 15 pro max
Jumia Nigeria,790000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,2,iphone 13
Jumia Nigeria,765000.0,No Rating yet,293,Topman phones,Very Poor,40,Good,In stock,3,iphone 11 pro max
Jumia Nigeria,1550000.0,Average,582,Best class stores,Excellent,86,Excellent,4 units left,0,iphone 14 pro max
Jumia Nigeria,2650999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,3 units left,1,iphone 15 pro max
Jumia Nigeria,1450000.0,Average,582,Best class stores,Excellent,86,Excellent,6 units left,0,iphone 14 pro max
Jumia Nigeria,420000.0,Excellent,349,High class sotre,Excellent,94,Good,1 units left,3,iphone x
Jumia Nigeria,1500000.0,Good,2127,Lamisol gadgets,Excellent,94,Excellent,1 units left,2,iphone 13 pro max
Jumia Express,79500.0,Poor,183,Kcros store-cod,Very Poor,46,Excellent,2 units left,4,iphone 6
Jumia Express,143000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,In stock,3,iphone 6
Jumia Express,87000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,1 units left,4,iphone 6
Jumia Express,87000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,1 units left,8,iphone 6
Jumia Nigeria,760000.0,Average,309,Don chris links,Very Poor,46,Good,6 units left,0,iphone 11 pro max
Jumia Nigeria,760000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,0,iphone x
Jumia Nigeria,565000.0,No Rating yet,293,Topman phones,Very Poor,40,Good,8 units left,0,iphone 11
Jumia Nigeria,790000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,1,iphone 13
Jumia Nigeria,760000.0,Average,582,Best class stores,Excellent,86,Excellent,8 units left,0,iphone 12 pro
Jumia Nigeria,980000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 13 pro
Jumia Nigeria,760000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,0,iphone x
Jumia Nigeria,420000.0,Excellent,349,High class sotre,Excellent,94,Good,5 units left,0,iphone x
Jumia Global,370740.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone x
Jumia Nigeria,1230000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 13 pro max
Jumia Nigeria,950000.0,Excellent,751,Mobile links77,Excellent,100,Excellent,In stock,0,iphone 12 pro max
Jumia Nigeria,590000.0,Excellent,349,High class sotre,Excellent,94,Good,6 units left,2,iphone 12
Jumia Nigeria,2650999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15 pro max
Jumia Nigeria,896000.0,Excellent,751,Mobile links77,Excellent,100,Excellent,In stock,1,iphone 12 pro max
Jumia Nigeria,1998900.0,Excellent,132,Vee hub,Excellent,94,Good,3 units left,0,iphone 15 pro max
Jumia Global,475260.5,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 11
Jumia Nigeria,920000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,3,iphone 12 pro max
Jumia Nigeria,790000.0,Average,582,Best class stores,Excellent,86,Excellent,9 units left,0,iphone 13
Jumia Nigeria,1550000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,5 units left,0,iphone 14 pro max
Jumia Nigeria,760000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,0,iphone 11 pro max
Jumia Nigeria,755000.0,Average,582,Best class stores,Excellent,86,Excellent,9 units left,3,iphone 11 pro max
Jumia Nigeria,1465999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,1 units left,0,iphone 14
Jumia Nigeria,765000.0,Average,582,Best class stores,Excellent,86,Excellent,1 units left,1,iphone 12 pro
Jumia Nigeria,1800000.0,Excellent,5,Arinjam apples and accessories,Excellent,86,Average,1 units left,1,iphone 15 pro max
Jumia Global,392433.0,No Rating yet,0,Okcat,No score,60,Very Poor,In stock,0,iphone x
Jumia Express,143000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,2 units left,1,iphone 6
Jumia Nigeria,595999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Nigeria,1560000.0,Average,582,Best class stores,Excellent,86,Excellent,9 units left,0,iphone 14 pro
Jumia Nigeria,1380000.0,Average,582,Best class stores,Excellent,86,Excellent,9 units left,0,iphone 14 pro
Jumia Nigeria,760000.0,Average,309,Don chris links,Very Poor,46,Good,7 units left,0,iphone 11 pro max
Jumia Nigeria,950000.0,Average,582,Best class stores,Excellent,86,Excellent,6 units left,0,iphone 12 pro max
Jumia Nigeria,751000.0,Excellent,751,Mobile links77,Excellent,100,Excellent,In stock,1,iphone 11 pro max
Jumia Nigeria,1100000.0,Average,309,Don chris links,Very Poor,46,Good,8 units left,0,iphone 13 pro max
Jumia Nigeria,1790000.0,Excellent,132,Vee hub,Excellent,94,Good,4 units left,0,iphone 15 pro
Jumia Nigeria,880000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,11,iphone 12 pro max
Jumia Nigeria,1480000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,8 units left,0,iphone 14 pro max
Jumia Nigeria,2000000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 15 pro max
Jumia Nigeria,1480999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,1 units left,3,iphone 15
Jumia Nigeria,1480000.0,Average,582,Best class stores,Excellent,86,Excellent,9 units left,0,iphone 14 pro
Jumia Nigeria,2399999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15 pro max
Jumia Nigeria,790000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,6 units left,0,iphone 13
Jumia Nigeria,930000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 12 pro max
Jumia Nigeria,1550000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,4 units left,0,iphone 14 pro max
Jumia Nigeria,890000.0,Average,582,Best class stores,Excellent,86,Excellent,9 units left,3,iphone 12 pro max
Jumia Nigeria,790000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,0,iphone 11
Jumia Global,389082.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone x
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,8 units left,0,iphone 13
Jumia Nigeria,760000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,2,iphone x
Jumia Nigeria,760000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,7 units left,0,iphone 12 pro
Jumia Nigeria,920000.0,Average,309,Don chris links,Very Poor,46,Good,9 units left,0,iphone 12 pro max
Jumia Nigeria,1899999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15 pro
Jumia Nigeria,685000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,8,iphone 12
Jumia Nigeria,490000.0,No Rating yet,293,Topman phones,Very Poor,40,Good,In stock,0,iphone x
Jumia Nigeria,920000.0,Average,582,Best class stores,Excellent,86,Excellent,9 units left,0,iphone 12 pro max
Jumia Nigeria,1990999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,1 units left,0,iphone 15 pro max
Jumia Nigeria,459000.0,No Rating yet,153,Telecom links7,No score,80,Good,In stock,3,iphone 11
Jumia Global,110220.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 6
Jumia Nigeria,1550000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 14 pro
Jumia Nigeria,1299999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 14
Jumia Express,135000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,1 units left,0,iphone 6
Jumia Nigeria,1999999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,4 units left,0,iphone 15
Jumia Global,230378.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 7
Jumia Nigeria,1200000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,2,iphone 13 pro max
Jumia Global,404140.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone x
Jumia Global,440277.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone x
Jumia Nigeria,785000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,5 units left,0,iphone 12 pro
Jumia Nigeria,760000.0,Average,309,Don chris links,Very Poor,46,Good,9 units left,0,iphone 11 pro max
Jumia Nigeria,1560000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 14 pro
Jumia Global,399113.0,No Rating yet,0,Okcat,No score,60,Very Poor,In stock,0,iphone 11
Jumia Nigeria,1650999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15
Jumia Nigeria,880000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,1,iphone 12 pro max
Jumia Global,172010.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 7
Jumia Nigeria,1800000.0,Excellent,5,Arinjam apples and accessories,Excellent,86,Average,1 units left,0,iphone 15 pro max
Jumia Global,113560.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 6
Jumia Nigeria,1490000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 14 pro
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,9 units left,0,iphone 13
Jumia Global,564460.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone x
Jumia Global,207080.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone 7
Jumia Nigeria,1100999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,2,iphone 13
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,1,iphone 11
Jumia Nigeria,760000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,0,iphone 12
Jumia Global,447560.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone x
Jumia Nigeria,751000.0,No Rating yet,153,Telecom links7,No score,80,Good,In stock,0,iphone 11 pro max
Jumia Global,273040.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 8
Jumia Global,158705.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone 7
Jumia Nigeria,790000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,8 units left,0,iphone 13
Jumia Global,210420.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 7
Jumia Nigeria,2850999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15 pro
Jumia Nigeria,2020999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15
Jumia Nigeria,569999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Nigeria,790000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,0,iphone 12
Jumia Nigeria,2100999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15 pro
Jumia Global,130260.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 6
Jumia Global,394103.0,No Rating yet,0,Okcat,No score,60,Very Poor,In stock,0,iphone 11
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,0,iphone 11
Jumia Global,121910.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 6
Jumia Nigeria,1465999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 14
Jumia Nigeria,790000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,0,iphone 13
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,8 units left,0,iphone 11
Jumia Express,969000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,1 units left,0,iphone 13 pro
Jumia Nigeria,1100999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 13
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,0,iphone 13
Jumia Nigeria,598000.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Nigeria,999999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone se
Jumia Nigeria,790000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 13
Jumia Global,257682.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 8
Jumia Nigeria,880000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,5 units left,0,iphone 12 pro max
Jumia Nigeria,790000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,3 units left,0,iphone 13
Jumia Nigeria,895999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 12 pro max
Jumia Global,191128.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 7
Jumia Nigeria,760000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,0,iphone 12
Jumia Nigeria,760000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,2,iphone 12
Jumia Global,247443.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 8
Jumia Express,742000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,1 units left,0,iphone 13
Jumia Nigeria,750000.0,No Rating yet,153,Telecom links7,No score,80,Good,In stock,1,iphone 11
Jumia Global,281573.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 8
Jumia Global,298638.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 8
