delivery_type,phone_price,seller_customer_rating,seller_followers,seller_name,seller_quality_score,seller_score,seller_shipping_speed,units_left,verified_ratings,model_names
Jumia Global,452223.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone x
Jumia Express,610000.0,Excellent,191,Bargain phones & gadget - ac,Excellent,100,Excellent,1 units left,0,iphone 12
Jumia Nigeria,597250.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Global,501000.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 11
Jumia Global,257682.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 8
Jumia Global,134814.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone 6
Jumia Global,457342.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone x
Jumia Global,531060.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone 12
Jumia Global,414680.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone x
Jumia Nigeria,546999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Nigeria,559999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Nigeria,544999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Express,610000.0,Excellent,191,Bargain phones & gadget - ac,Excellent,100,Excellent,7 units left,0,iphone 12
Jumia Express,610000.0,Excellent,191,Bargain phones & gadget - ac,Excellent,100,Excellent,2 units left,0,iphone 12
Jumia Global,554613.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 11
Jumia Express,610000.0,Excellent,191,Bargain phones & gadget - ac,Excellent,100,Excellent,4 units left,0,iphone 12
Jumia Global,191128.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 7
Jumia Global,665535.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 12
Jumia Global,476114.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 11
Jumia Nigeria,594999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Nigeria,596900.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Global,426625.0,No Rating yet,0,Shengtu,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Global,312272.0,Excellent,5,Fantacymall,Excellent,94,Good,In stock,0,iphone x
Jumia Nigeria,257990.0,No Rating yet,0,Jumia,No score,100,No Rating yet,In stock,2,iphone 8
Jumia Global,919804.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 14
Jumia Nigeria,410000.0,No Rating yet,0,Jumia,No score,100,No Rating yet,In stock,1,iphone 8
Jumia Nigeria,459000.0,No Rating yet,153,Telecom links7,No score,80,Good,In stock,6,iphone 11
Jumia Global,1003422.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 13 pro
Jumia Global,882261.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 13
Jumia Global,749154.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 12 pro
Jumia Global,918097.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 14
Jumia Global,919804.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 12 pro max
Jumia Global,1174072.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 13 pro max
Jumia Global,1600697.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 14 pro max
Jumia Global,921510.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 12 pro max
Jumia Global,440277.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone x
Jumia Nigeria,2140000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 15 pro max
Jumia Nigeria,2150000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 15 pro max
Jumia Global,409543.0,Excellent,5,Fantacymall,Excellent,94,Good,In stock,0,iphone x
Jumia Global,564834.0,Excellent,5,Fantacymall,Excellent,94,Good,In stock,0,iphone x
Jumia Global,680894.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 11 pro
Jumia Global,457325.0,Excellent,5,Fantacymall,Excellent,94,Good,In stock,0,iphone x
Jumia Global,418093.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone x
Jumia Global,585330.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 11 pro
Jumia Global,476114.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone x
Jumia Global,597275.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone x
Jumia Global,375430.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone x
Jumia Global,578504.0,No Rating yet,0,Shengtu,No score,60,No Rating yet,In stock,0,iphone 12
Jumia Nigeria,597000.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Nigeria,549999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Nigeria,595999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Nigeria,544000.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Global,230378.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone 8
Jumia Global,409133.0,No Rating yet,0,Okcat,No score,60,Very Poor,In stock,0,iphone x
Jumia Global,412973.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone x
Jumia Nigeria,559999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Nigeria,898100.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 12 pro max
Jumia Global,320822.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 8
Jumia Nigeria,880000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,0,iphone 12 pro max
Jumia Global,322529.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 8
Jumia Nigeria,1645999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 13
Jumia Nigeria,597200.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Nigeria,539999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11
Jumia Nigeria,950000.0,No Rating yet,153,Telecom links7,No score,80,Good,In stock,0,iphone 12 pro max
Jumia Global,215413.0,No Rating yet,0,Okcat,No score,60,Very Poor,In stock,0,iphone 8
Jumia Global,733130.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 12 pro
Jumia Global,264508.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone 8
Jumia Global,887380.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 13
Jumia Nigeria,751000.0,Excellent,751,Mobile links77,Excellent,100,Excellent,In stock,0,iphone 11 pro max
Jumia Nigeria,596999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Express,610000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,1 units left,0,iphone 11 pro
Jumia Nigeria,895000.0,No Rating yet,153,Telecom links7,No score,80,Good,In stock,0,iphone 12 pro max
Jumia Nigeria,790000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,7 units left,0,iphone 13
Jumia Global,434183.0,No Rating yet,0,Okcat,No score,60,Very Poor,In stock,0,iphone x
Jumia Nigeria,760000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,1,iphone x
Jumia Global,521040.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone x
Jumia Nigeria,2200999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15
Jumia Nigeria,1550000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,6 units left,0,iphone 14 pro max
Jumia Global,175770.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone 7
Jumia Global,480943.0,No Rating yet,0,Okcat,No score,60,Very Poor,In stock,0,iphone x
Jumia Nigeria,1299999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,1,iphone 14
Jumia Express,590000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,1 units left,0,iphone 12
Jumia Nigeria,2520999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 15 pro
Jumia Nigeria,1848000.0,Excellent,132,Vee hub,Excellent,94,Good,4 units left,0,iphone 15 pro
Jumia Global,499330.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 11
Jumia Nigeria,1299999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,2 units left,0,iphone 14
Jumia Global,232084.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 8
Jumia Nigeria,597999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Nigeria,595000.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Global,339594.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone x
Jumia Nigeria,750000.0,No Rating yet,153,Telecom links7,No score,80,Good,In stock,0,iphone 11
Jumia Global,881760.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 13
Jumia Nigeria,549699.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,4 units left,0,iphone 11
Jumia Nigeria,1100000.0,Average,881,Chris communications technology,Excellent,80,Good,In stock,0,iphone 13 pro max
Jumia Express,135000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,3 units left,0,iphone 6
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,7 units left,4,iphone 11
Jumia Nigeria,879999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 12 pro max
Jumia Global,192050.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone 7
Jumia Global,50674.0,No Rating yet,5,Figer01,No score,60,No Rating yet,In stock,0,iphone 5
Jumia Nigeria,780000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,8 units left,0,iphone 12 pro
Jumia Nigeria,879800.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 12 pro max
Jumia Nigeria,550000.0,Excellent,349,High class sotre,Excellent,94,Good,1 units left,3,iphone 11
Jumia Nigeria,880000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,3 units left,1,iphone 12 pro max
Jumia Nigeria,1999999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,5 units left,0,iphone 15
Jumia Nigeria,570000.0,No Rating yet,293,Topman phones,Very Poor,40,Good,3 units left,3,iphone 11
Jumia Nigeria,1200000.0,Average,309,Don chris links,Very Poor,46,Good,8 units left,2,iphone 13 pro max
Jumia Express,127000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,4 units left,0,iphone 6
Jumia Nigeria,895000.0,Excellent,751,Mobile links77,Excellent,100,Excellent,In stock,0,iphone 12 pro max
Jumia Nigeria,1100000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,1,iphone 13 pro max
Jumia Nigeria,1230000.0,Average,582,Best class stores,Excellent,86,Excellent,8 units left,0,iphone 13 pro max
Jumia Nigeria,1180000.0,Average,582,Best class stores,Excellent,86,Excellent,8 units left,0,iphone 13 pro max
Jumia Nigeria,1490000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 14 pro max
Jumia Global,337887.0,No Rating yet,49,Yusheng,Excellent,98,Excellent,In stock,0,iphone x
Jumia Global,425850.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone 11
Jumia Nigeria,1550000.0,Average,150,Cryztal accessories,Excellent,86,Excellent,In stock,0,iphone 14 pro max
Jumia Nigeria,1380000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 14 pro
Jumia Express,143000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,3 units left,0,iphone 6
Jumia Nigeria,790000.0,Average,309,Don chris links,Very Poor,46,Good,6 units left,5,iphone 13
Jumia Nigeria,1180000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,0,iphone 13 pro max
Jumia Nigeria,1200000.0,Average,309,Don chris links,Very Poor,46,Good,7 units left,1,iphone 13 pro max
Jumia Nigeria,1200000.0,Average,309,Don chris links,Very Poor,46,Good,9 units left,2,iphone 13 pro max
Jumia Express,135000.0,Average,203,Unagi-cod,Very Poor,54,Excellent,4 units left,0,iphone 6
Jumia Nigeria,578999.0,No Rating yet,4,Simple gadget,No score,60,No Rating yet,In stock,0,iphone 11 pro
Jumia Nigeria,1100000.0,Average,309,Don chris links,Very Poor,46,Good,9 units left,3,iphone 13 pro max
Jumia Nigeria,920000.0,Average,309,Don chris links,Very Poor,46,Good,7 units left,5,iphone 12 pro max
Jumia Global,281573.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 8
Jumia Nigeria,755000.0,Average,582,Best class stores,Excellent,86,Excellent,2 units left,0,iphone 11 pro max
Jumia Nigeria,760000.0,Average,309,Don chris links,Very Poor,46,Good,In stock,3,iphone x
Jumia Global,155293.0,No Rating yet,0,Okcat,No score,60,Very Poor,In stock,0,iphone 7
Jumia Nigeria,570000.0,No Rating yet,293,Topman phones,Very Poor,40,Good,1 units left,5,iphone 11
Jumia Global,244030.0,No Rating yet,7,Huajie,Excellent,60,Excellent,In stock,0,iphone 8
Jumia Global,332330.0,No Rating yet,15,Xinheng,Excellent,90,Good,In stock,0,iphone x
Jumia Nigeria,755000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,1,iphone 11
Jumia Nigeria,980000.0,Average,582,Best class stores,Excellent,86,Excellent,8 units left,0,iphone 13 pro
Jumia Nigeria,2399999.0,Good,2418,Apple authorized reseller,Excellent,86,Good,4 units left,0,iphone 15 pro max
Jumia Nigeria,1550000.0,Average,582,Best class stores,Excellent,86,Excellent,7 units left,0,iphone 14 pro max
Jumia Nigeria,790000.0,Average,582,Best class stores,Excellent,86,Excellent,7 units left,1,iphone 13
Jumia Nigeria,960000.0,Average,582,Best class stores,Excellent,86,Excellent,9 units left,0,iphone 12 pro max
Jumia Nigeria,980000.0,Average,582,Best class stores,Excellent,86,Excellent,9 units left,0,iphone 13 pro
Jumia Nigeria,1550000.0,Average,582,Best class stores,Excellent,86,Excellent,8 units left,0,iphone 14 pro max
Jumia Express,450000.0,Excellent,191,Bargain phones & gadget - ac,Excellent,100,Excellent,In stock,1,iphone x
Jumia Nigeria,1550000.0,Average,582,Best class stores,Excellent,86,Excellent,5 units left,0,iphone 14 pro max
Jumia Nigeria,950000.0,Average,582,Best class stores,Excellent,86,Excellent,In stock,1,iphone 13 pro
Jumia Nigeria,1998900.0,Excellent,132,Vee hub,Excellent,94,Good,1 units left,0,iphone 15 pro max
